Event_Name,Event_Type_text,Event_Type_code,Depth,Uncertainty_neg,Uncertainty_pos,Weight
Top of hole,Top,6,0,0,0,0
I,Litho-Bound,10,366.622,0,0,0
II,Litho-Bound,10,1015.052,0,0,0
IIIA,Litho-Bound,10,1112.352,0,0,0
IIIB,Litho-Bound,10,1378.242,0,0,0
Bottom of hole,Base,6,1378.242,0,0,0
C1n (Brunhes),Pmag,3,74.2015,0.2875,0.2875,10
C1r.1r (Matuyama),Pmag,3,99.312,0.49,0.49,10
C1r.1n (Jaramillo),Pmag,3,107.7715,2.9295,2.9295,10
C1r.2r,Pmag,3,116.4415,0.1955,0.1955,10
C1r.2n (Cobb mountain),Pmag,3,118.1065,0.3505,0.3505,10
C1r.3r,Pmag,3,199.2535,0.5315,0.5315,10
C2n (Olduvai),Pmag,3,226.785,0.53,0.53,10
C2r.1r,Pmag,3,246.776,0.206,0.206,10
C2r.1n (Feni),Pmag,3,248.2095,0.1925,0.1925,10
C2An.3n,Pmag,3,388.177,0.125,0.125,10
C2Ar (Gilbert),Pmag,3,434.7995,0.1875,0.1875,10
C3n.1n (Cochiti),Pmag,3,454.0245,0.0375,0.0375,10
C3n.1r,Pmag,3,471.6895,0.1125,0.1125,10
C3n.2n (Nunivak),Pmag,3,493.112,0.15,0.15,10
C3n.2r,Pmag,3,517.417,0.45,0.45,10
C3n.3n (Sidufjall),Pmag,3,529.3945,3.2925,3.2925,10
C3n.3r,Pmag,3,548.0295,2.9325,2.9325,10
C3r.4n (Thvera),Pmag,3,593.322,0.375,0.375,10
C3r (Gilbert),Pmag,3,698.4195,0.0825,0.0825,10
C3An.1n,Pmag,3,737.422,0.06,0.06,10
C3An.1r,Pmag,3,763.937,0.1,0.1,10
C3An.2n,Pmag,3,804.002,0.3,0.3,10
C3Ar,Pmag,3,851.357,0.125,0.125,10
C3Bn,Pmag,3,861.5295,0.0125,0.0125,10
C3Br.1r,Pmag,3,869.4995,0.0375,0.0375,10
C3Br.1n,Pmag,3,871.892,0.215,0.215,10
C3Br.3r,Pmag,3,879.562,0.175,0.175,10
C4n.2n,Pmag,3,917.067,0.12,0.12,10
C4r.2r,Pmag,3,961.7495,4.8375,4.8375,10
C4An,Pmag,3,1000.142,0.2,0.2,10
C4Ar.1r,Pmag,3,1005.712,0.2,0.2,10
C4Ar.1n,Pmag,3,1021.622,3.365,3.365,10
C4Ar.2r,Pmag,3,1034.3695,7.7325,7.7325,10
C5n.2n,Pmag,3,1075.9645,0.0275,0.0275,10
Bc Emiliania huxleyi,CN,1,10.078,5.12,5.12,0
B Emiliania huxleyi,CN,1,24.784,9.586,9.586,0
T Pseudoemiliania lacunosa,CN,2,40.392,6.022,6.022,0
T Reticulofenestra asanoi ,CN,2,90.3865,0.4575,0.4575,0
T Helicosphaera sellii (Atlantic),CN,2,126.1885,6.8725,6.8725,0
T Calcidiscus macintyrei,CN,2,174.9605,2.2265,2.2265,0
B Gephyrocapsa (> 4 ?m),CN,1,189.9975,3.3625,3.3625,0
T Reticulofenestra pseudoumbilicus,CN,2,397.847,0.985,0.985,0
B Discoaster quinqueramus,CN,4,786.572,0,0,0
Bpa Reticulofenestra pseudoumbilicus ,CN,1,944.932,6.91,6.91,0
T Coccolithus miopelagicus ,CN,2,1001.917,1.385,1.385,0
T Coronocyclus nitescens ,CN,5,1116.062,0,0,0
T Calcidiscus premacintyrei,CN,5,1103.642,0,0,0
B Calcidiscus premacintyrei,CN,4,1104.572,0,0,0
Tc Cyclicargolithus floridanus ,CN,2,1110.317,5.745,5.745,0
T Sphenolithus heteromorphus,CN,2,1110.317,5.745,5.745,0
T Helicosphaera ampliaperta,CN,2,1128.912,3.57,3.57,0
Bc Sphenolithus heteromorphus ,CN,1,1151.582,0.12,0.12,0
X Helicosphaera euphratis-Helicosphaera carteri ,CN,11,1191.452,9.4,9.4,0
B Sphenolithus disbelemnos ,CN,4,1271.262,0,0,0
T Reticulofenestra bisecta,CN,2,1271.372,0.11,0.11,0
T Cyclicargolithus abisectus,CN,2,1271.372,0.11,0.11,0
T Reticulofenestra umbilicus,CN,2,1371.322,5.26,5.26,0
Bc Neogloboquadrina pachyderma (s),PF,1,179.9235,40.3325,40.3325,0
B Globoconella inflata,PF,1,232.8585,6.6985,6.6985,0
T Neogloboquadrina atlantica,PF,2,257.3635,17.8065,17.8065,0
X d-s Neogloboquadrina atlantica,PF,11,869.887,16.155,16.155,0
B Globorotalia cibaoensis,PF,1,869.887,16.155,16.155,0
T Paragloborotalia mayeri,PF,5,1048.632,0,0,0
B Orbulina universa,PF,4,1026.862,0,0,0
T Globigerinatheka index,PF,5,1376.982,0,0,0
B Bolboforma metzmacheri,BBF,1,1022.842,4.01,4.01,0
