Sample name,Depth,Additoinal column1,Additoinal column2,Additoinal column3
Sample 1,0,NaN,NaN,NaN
Sample 2,1.6,NaN,NaN,NaN
Sample 3,2,NaN,NaN,NaN
Sample 4,3.85,NaN,NaN,NaN
Sample 5,5.9,NaN,NaN,NaN
Sample 6,6.873987538,NaN,NaN,NaN
Sample 7,7.75,NaN,NaN,NaN
Sample 8,9.2,NaN,NaN,NaN
Sample 9,10.65,NaN,NaN,NaN
Sample 10,12,NaN,NaN,NaN
Sample 11,12,NaN,NaN,NaN
Sample 12,13.65,NaN,NaN,NaN
Sample 13,15.4,NaN,NaN,NaN
Sample 14,16.7,NaN,NaN,NaN
Sample 15,18.95,NaN,NaN,NaN
Sample 16,21.1,NaN,NaN,NaN
Sample 17,22.35,NaN,NaN,NaN
Sample 18,23.00334634,NaN,NaN,NaN
Sample 19,23.6,NaN,NaN,NaN
Sample 20,23.85,NaN,NaN,NaN
Sample 21,24.95,NaN,NaN,NaN
Sample 22,26.1,NaN,NaN,NaN
Sample 23,26.65,NaN,NaN,NaN
Sample 24,27.65,NaN,NaN,NaN
Sample 25,29.3,NaN,NaN,NaN
Sample 26,30.439666,NaN,NaN,NaN
Sample 27,32.25,NaN,NaN,NaN
Sample 28,35.35,NaN,NaN,NaN
Sample 29,36.8,NaN,NaN,NaN
Sample 30,38.3,NaN,NaN,NaN
Sample 31,41.25,NaN,NaN,NaN
Sample 32,41.5,NaN,NaN,NaN
Sample 33,43.55,NaN,NaN,NaN
Sample 34,45.25,NaN,NaN,NaN
Sample 35,46.35,NaN,NaN,NaN
Sample 36,47.15,NaN,NaN,NaN
Sample 37,48.5,NaN,NaN,NaN
Sample 38,49.65,NaN,NaN,NaN
Sample 39,50.4,NaN,NaN,NaN
Sample 40,51.3,NaN,NaN,NaN
Sample 41,52.5,NaN,NaN,NaN
Sample 42,54.1,NaN,NaN,NaN
Sample 43,55.05,NaN,NaN,NaN
Sample 44,57.7,NaN,NaN,NaN
Sample 45,60.05,NaN,NaN,NaN
Sample 46,60.55,NaN,NaN,NaN
Sample 47,61.15,NaN,NaN,NaN
Sample 48,61.85,NaN,NaN,NaN
Sample 49,62.45,NaN,NaN,NaN
Sample 50,63.45,NaN,NaN,NaN
Sample 51,64.4,NaN,NaN,NaN
Sample 52,64.95,NaN,NaN,NaN
Sample 53,65.6,NaN,NaN,NaN
Sample 54,67.05,NaN,NaN,NaN
Sample 55,67.85,NaN,NaN,NaN
Sample 56,68.5,NaN,NaN,NaN
Sample 57,69,NaN,NaN,NaN
Sample 58,70.85,NaN,NaN,NaN
Sample 59,74.05,NaN,NaN,NaN
Sample 60,75.9,NaN,NaN,NaN
Sample 61,77.05,NaN,NaN,NaN
Sample 62,78.1,NaN,NaN,NaN
Sample 63,78.4,NaN,NaN,NaN
Sample 64,80.05,NaN,NaN,NaN
Sample 65,80.65,NaN,NaN,NaN
Sample 66,81.35,NaN,NaN,NaN
Sample 67,81.7,NaN,NaN,NaN
Sample 68,82.05,NaN,NaN,NaN
Sample 69,83.6,NaN,NaN,NaN
Sample 70,83.74967907,NaN,NaN,NaN
Sample 71,84.5,NaN,NaN,NaN
